pind,volumn,title,author,poetry
73,卷1_74,于太原召侍臣賜宴守歲,李世民,"['四時運灰琯', '一夕變冬春', '送寒馀雪盡', '迎歲早梅新']"
74,卷1_75,詠燭二首,李世民,"['焰聽風來動', '花開不待春', '鎮下千行淚', '非是為思人', '九龍蟠焰動', '四照逐花生', '即此流高殿', '堪持待月明']"
75,卷1_76,詠弓,李世民,"['上弦明月半', '激箭流星遠', '落雁帶書驚', '啼猿映枝轉']"
76,卷1_77,賦得早雁出云鳴,李世民,"['初秋玉露清', '早雁出空鳴', '隔云時亂影', '因風乍含聲']"
77,卷1_78,賦得臨池柳,李世民,"['岸曲絲陰聚', '波移帶影疏', '還將眉里翠', '來就鏡中舒']"
78,卷1_79,賦得臨池竹,李世民,"['貞條障曲砌', '翠葉貫寒霜', '拂牖分龍影', '臨池待鳳翔']"
79,卷1_80,賦得弱柳鳴秋蟬,李世民,"['散影玉階柳', '含翠隱鳴蟬', '微形藏葉里', '亂響出風前']"
80,卷1_81,探得李,李世民,"['盤根直盈渚', '交干橫倚天', '舒華光四海', '卷葉蔭三川']"
81,卷1_82,詠小山,李世民,"['近谷交縈蕊', '遙峰對出蓮', '徑細無全磴', '松小未含煙']"
82,卷1_83,賜蕭瑀,李世民,"['疾風知勁草', '板蕩識誠臣', '勇夫安識義', '智者必懷仁']"
83,卷1_84,賜房玄齡,李世民,"['太液仙舟迥', '西園隱上才', '未曉征車度', '雞鳴關早開']"
84,卷1_85,遼東山夜臨秋,李世民,"['煙生遙岸隱', '月落半崖陰', '連山驚鳥亂', '隔岫斷猿吟']"
85,卷1_86,賜魏徵詩,李世民,"['醽醁勝蘭生', '翠濤過玉z1. 千日醉不醒', '十年味不敗']"
86,卷1_21,兩儀殿賦柏梁體,李世民,"['絕域降附天下平', '——李世民', '八表無事悅圣情', '——淮安王', '云披霧斂天地明', '——長孫無忌', '登封日觀禪云亭', '——房玄齡', '太常具禮方告成', '——蕭瑀']"
87,卷1_22,太子納妃太平公主出降,李世民,"['雪恥酬百王', '除兇報千古', '昔乘匹馬去', '今驅萬乘來', '近日毛雖暖', '聞弦心已驚', '卷二']"
88,卷2_1,七夕宴懸圃二首,李治,"['龍樓光曙景', '魯館啟朝扉', '艷日濃妝影', '低星降婺輝', '玉庭浮瑞色', '銀榜藻祥徽', '云轉花縈蓋', '霞飄葉綴旂', '雕軒回翠陌', '寶駕歸丹殿', '鳴珠佩曉衣', '鏤璧輪開扇', '華冠列綺筵', '蘭醑申芳宴', '環階鳳樂陳', '玳席珍羞薦', '蝶舞袖香新', '歌分落素塵', '歡凝歡懿戚', '慶葉慶初姻', '暑闌炎氣息', '涼早吹疏頻', '方期六合泰', '共賞萬年春']"
89,卷2_2,過溫湯,李治,"['羽蓋飛天漢', '鳳駕越層巒', '俱嘆三秋阻', '共敘一宵歡', '璜虧夜月落', '靨碎曉星殘', '誰能重操杼', '纖手濯清瀾', '霓裳轉云路', '鳳駕儼天潢', '虧星凋夜靨', '殘月落朝璜', '促歡今夕促', '長離別后長', '輕梭聊駐織', '掩淚獨悲傷']"
90,卷2_3,九月九日,李治,"['溫渚停仙蹕', '豐郊駐曉旌', '路曲回輪影', '巖虛傳漏聲', '暖溜驚湍駛', '寒空碧霧輕', '林黃疏葉下', '野白曙霜明', '眺聽良無已', '煙霞斷續生']"
91,卷2_4,謁慈恩寺題奘法師房,李治,"['端居臨玉扆', '初律啟金商', '鳳闕澄秋色', '龍闈引夕涼', '野凈山氣斂', '林疏風露長', '砌蘭虧半影', '巖桂發全香', '滿蓋荷凋翠', '圓花菊散黃', '揮鞭爭電烈', '飛羽亂星光', '柳空穿石碎', '弦虛側月張', '怯猿啼落岫', '驚雁斷分行', '斜輪低夕景', '歸旆擁通莊']"
92,卷2_5,謁大慈恩寺,李治,"['停軒觀福殿', '游目眺皇畿', '法輪含日轉', '花蓋接云飛', '翠煙香綺閣', '丹霞光寶衣', '幡虹遙合彩', '定水迥分暉', '蕭然登十地', '自得會三歸']"
93,卷2_6,守歲,李治,"['日宮開萬仞', '月殿聳千尋', '花蓋飛團影', '幡虹曳曲陰', '綺霞遙籠帳', '叢珠細網林', '寥廓煙云表', '超然物外心']"
94,卷2_7,咸亨殿宴近臣諸親柏梁體,李治,"['今宵冬律盡', '來朝麗景新', '花馀凝地雪', '條含暖吹分', '綬吐芽猶嫩', '冰□已鏤津', '薄紅梅色冷', '淺綠柳輕春', '送迎交兩節', '暄寒變一辰']"
95,卷2_8,九月九日幸臨渭亭登高得秋字,李治,"['屏欲除奢政返淳', '（霍王以下和句亡）']"
96,卷2_9,登驪山高頂寓目,李顯,"['九日正乘秋', '三杯興已周', '泛桂迎尊滿', '吹花向酒浮', '長房萸早熟', '彭澤菊初收', '何藉龍沙上', '方得恣淹留']"
97,卷2_10,幸秦始皇陵,李顯,"['四郊秦漢國', '八水帝王都', '閶闔雄里閈', '城闕壯規模', '貫渭稱天邑', '含岐實奧區', '金門披玉館', '因此識皇圖']"
98,卷2_11,立春日游苑迎春,李顯,"['眷言君失德', '驪邑想秦馀', '政煩方改篆', '愚俗乃焚書', '阿房久已滅', '閣道遂成墟', '欲厭東南氣', '翻傷掩鮑車']"
99,卷2_12,十月誕辰內殿宴群臣效柏梁體聯句,李顯,"['神皋福地三秦邑', '玉臺金闕九仙家', '寒光猶戀甘泉樹', '淑景偏臨建始花', '彩蝶黃鶯未歌舞', '梅香柳色已矜夸', '迎春正啟流霞席', '暫囑曦輪勿遽斜']"
